fips,county_name,households,population
47113,"Madison County, TN",39534,100409
47115,"Marion County, TN",11529,29826
47117,"Marshall County, TN",13268,37847
47119,"Maury County, TN",41260,113411
47121,"Meigs County, TN",5279,13937
47123,"Monroe County, TN",19283,49154
47125,"Montgomery County, TN",84321,246025
47127,"Moore County, TN",2638,6773
47129,"Morgan County, TN",7188,21954
47131,"Obion County, TN",12516,30261
47133,"Overton County, TN",8992,23551
47135,"Perry County, TN",3040,8987
47137,"Pickett County, TN",2106,5108
47139,"Polk County, TN",7144,18338
47141,"Putnam County, TN",33057,84894
47143,"Rhea County, TN",13243,34759
47145,"Roane County, TN",22539,56742
47147,"Robertson County, TN",27755,78459
47149,"Rutherford County, TN",125861,376996
47151,"Scott County, TN",8638,22517
47153,"Sequatchie County, TN",6121,17620
47155,"Sevier County, TN",39221,100184
47157,"Shelby County, TN",360590,910530
47159,"Smith County, TN",7619,20783
47161,"Stewart County, TN",5173,14365
47163,"Sullivan County, TN",68408,162703
47165,"Sumner County, TN",76706,211721
47167,"Tipton County, TN",22544,62187
47169,"Trousdale County, TN",3658,12159
47171,"Unicoi County, TN",7803,17872
47173,"Union County, TN",7771,21064
47175,"Van Buren County, TN",2462,6686
47177,"Warren County, TN",16132,43619
47179,"Washington County, TN",56234,139642
47181,"Wayne County, TN",5734,15974
47183,"Weakley County, TN",13274,33162
47185,"White County, TN",11001,29108
47187,"Williamson County, TN",90716,269136
47189,"Wilson County, TN",56609,169948
48001,"Anderson County, TX",17142,59512
48003,"Andrews County, TX",6780,18923
48005,"Angelina County, TX",32183,88094
48007,"Aransas County, TX",11738,25595
48009,"Archer County, TX",3439,9155
48011,"Armstrong County, TX",754,1809
48013,"Atascosa County, TX",16635,52783
48015,"Austin County, TX",12174,32546
48017,"Bailey County, TX",2250,7031
48019,"Bandera County, TX",8943,22830
48021,"Bastrop County, TX",35164,114931
48023,"Baylor County, TX",1548,3533
48025,"Bee County, TX",8581,31226
48027,"Bell County, TX",138557,399578
48029,"Bexar County, TX",740402,2127737
48031,"Blanco County, TX",5001,13358
48033,"Borden County, TX",239,557
48035,"Bosque County, TX",7467,19013
48037,"Bowie County, TX",34801,91992
48039,"Brazoria County, TX",131184,413224
48041,"Brazos County, TX",88415,249624
48043,"Brewster County, TX",4929,9508
48045,"Briscoe County, TX",555,1494
48047,"Brooks County, TX",2884,6740
48049,"Brown County, TX",14979,38631
48051,"Burleson County, TX",7749,20179
48053,"Burnet County, TX",19597,55722
48055,"Caldwell County, TX",15741,52430
48057,"Calhoun County, TX",8398,19942
48059,"Callahan County, TX",5237,14615
48061,"Cameron County, TX",135435,431874
48063,"Camp County, TX",4677,13164
48065,"Carson County, TX",2302,5822
48067,"Cass County, TX",11775,28622
48069,"Castro County, TX",2427,7380
48071,"Chambers County, TX",16558,56179
48073,"Cherokee County, TX",18085,53223
48075,"Childress County, TX",2174,6679
48077,"Clay County, TX",4227,10730
48079,"Cochran County, TX",949,2583
48081,"Coke County, TX",1489,3396
48083,"Coleman County, TX",3230,7990
48085,"Collin County, TX",400182,1254658
48087,"Collingsworth County, TX",947,2611
48089,"Colorado County, TX",7577,21475
48091,"Comal County, TX",67651,201628
48093,"Comanche County, TX",5395,14359
48095,"Concho County, TX",849,3326
48097,"Cooke County, TX",16252,44258
48099,"Coryell County, TX",26099,86370
48101,"Cottle County, TX",571,1263
48103,"Crane County, TX",1665,4594
48105,"Crockett County, TX",1176,2799
48107,"Crosby County, TX",1974,5030
48109,"Culberson County, TX",702,2254
48111,"Dallam County, TX",2373,7526
48113,"Dallas County, TX",971690,2656028
48115,"Dawson County, TX",4154,11758
48117,"Deaf Smith County, TX",5973,18495
48119,"Delta County, TX",2095,5647
48121,"Denton County, TX",346809,1045120
48123,"DeWitt County, TX",6683,20252
48125,"Dickens County, TX",684,1725
48127,"Dimmit County, TX",3010,8181
48129,"Donley County, TX",1203,3193
48131,"Duval County, TX",2992,9585
48133,"Eastland County, TX",7168,18290
48135,"Ector County, TX",62422,170022
48137,"Edwards County, TX",474,1383
48139,"Ellis County, TX",68852,232387
